,year,atmospheric co2 mean,atmospheric ch4 mean,atmospheric n2o mean,atmospheric sf6 mean,co2 emissions,co2 emissions growth%,methane emissions,nitrous oxide emissions,primary_energy_consumption,Eruptions_Total,Volcanoes_Active,ch4 emissions growth%,atmospheric co2 growth%,atmospheric ch4 growth%,Temperature Anomaly
261,2011,391.85,1803.04,324.21,7.3,34479.98828125,3.488588333129883,8498.2548828125,2703.09326171875,144913.296875,76.0,71.0,2.9204591687087778,0.44860292232760113,0.22902630467167562,0.61
262,2012,394.06,1808.13,325.05,7.6,34954.734375,1.3768792152404783,8568.3916015625,2717.484619140625,147002.421875,81.0,72.0,0.825307309761314,0.563991323210411,0.28230100275092873,0.64
263,2013,396.74,1813.42,325.94,7.91,35275.8203125,0.9185791015625,8520.59765625,2700.372314453125,149599.734375,80.0,73.0,-0.5577936622759405,0.6800994772369728,0.2925674591981675,0.67
264,2014,398.81,1822.58,327.09,8.25,35465.6953125,0.5382537841796875,8601.7880859375,2733.968017578125,151239.171875,79.0,71.0,0.9528724740094363,0.5217522810908815,0.5051229169193983,0.75
265,2015,401.01,1834.19,328.17,8.58,35403.52734375,-0.1752912998199463,8616.3486328125,2741.35595703125,152357.625,89.0,82.0,0.16927348976201184,0.5516411323687853,0.6370090750474677,0.89
266,2016,404.41,1843.18,328.95,8.91,35392.83203125,-0.0302076339721679,8652.8349609375,2759.228515625,154221.484375,86.0,75.0,0.4234546404732642,0.8478591556320358,0.4901346098277637,1.01
267,2017,406.76,1849.61,329.74,9.26,35974.609375,1.6437768936157229,8797.0166015625,2814.724365234375,157625.3125,75.0,71.0,1.6662936630121417,0.5810934447713967,0.34885361169283424,0.91
268,2018,408.72,1857.34,330.9,9.6,36734.00390625,2.110922336578369,8935.4296875,2814.0390625,161806.125,81.0,76.0,1.573409397828307,0.48185662307012045,0.4179259411443592,0.85
269,2019,411.65,1866.54,331.88,9.94,37086.56640625,0.95977783203125,9008.44140625,2819.103759765625,163694.609375,76.0,73.0,0.8171036122878172,0.7168721863378247,0.4953320339840861,0.98
270,2020,414.21,1878.72,333.01,10.26,35158.23046875,-5.199563503265381,8903.3427734375,2852.966796875,157993.890625,72.0,68.0,-1.166668328880771,0.6218875258107603,0.6525442797904235,1.01
271,2021,416.41,1894.81,334.27,10.63,36866.86328125,4.8598408699035645,9089.302734375,2895.432373046875,166043.5,82.0,76.0,2.0886532807913305,0.5311315516284054,0.8564341679441201,0.85
272,2022,418.53,1910.94,335.62,11.02,37527.7734375,1.7926931381225586,9278.5556640625,2881.2294921875,169061.53125,85.0,80.0,2.0821501408657017,0.5091136139862007,0.8512726869712495,0.89
273,2023,421.08,1921.43,336.68,11.4,38094.0390625,1.508927345275879,9416.9296875,2911.154052734375,172238.78125,75.0,71.0,1.4913315008007855,0.6092753207655344,0.548944498519055,1.17
274,2024,424.61,1929.47,337.71,11.8,38598.578125,1.324450969696045,9498.9140625,2935.778564453125,176737.09375,73.0,65.0,0.8706062137091797,0.838320509166901,0.41843835060344503,1.28
